time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0.22,0.026692,0.00798395,-0.00769311,0.12081,0.198174,-0.000796924,-0.0188488,-0.0291694,-0.0186264,0.0216208,0.0146732,-0.00208955,-0.195425,-0.049559,-0.0310589,-0.0088554,-0.00298541,-0.0185165
0.23,0.0271853,0.00685754,-0.00682929,0.120675,0.198567,-0.00121493,-0.0141102,-0.0286448,-0.0197757,0.0185451,0.0139964,-0.00209047,-0.201938,-0.0492952,-0.0297132,-0.0083665,-0.00579089,-0.0185966
0.24,0.0286794,0.00455099,-0.00616064,0.120609,0.1991,-0.00149735,-0.0105351,-0.0274503,-0.0223102,0.0141304,0.0119379,-0.00132203,-0.207892,-0.0488596,-0.0272025,-0.00695949,-0.00696898,-0.0185663
0.25,0.0288238,0.00400921,-0.00550131,0.120445,0.199388,-0.00170347,-0.00550344,-0.0269792,-0.023479,0.010734,0.0116527,-6.17342e-05,-0.213648,-0.0470399,-0.022701,-0.00481597,-0.0111945,-0.0179918
0.26,0.0281826,0.0044344,-0.00469515,0.120184,0.199547,-0.00196395,4.13293e-05,-0.0267234,-0.0231389,0.00838494,0.0123961,0.000984459,-0.218172,-0.0450211,-0.0183388,-0.00320827,-0.0162292,-0.017296
0.27,0.027807,0.00414611,-0.00367627,0.119993,0.19976,-0.0023236,0.00490121,-0.0260076,-0.0230121,0.00598272,0.0124099,0.00166182,-0.221155,-0.0436042,-0.0155204,-0.00220981,-0.019235,-0.0168598
0.28,0.0276837,0.0033192,-0.0024976,0.119829,0.200017,-0.00265328,0.00968387,-0.0248947,-0.0234537,0.00319361,0.011772,0.00243452,-0.223531,-0.0423118,-0.0134351,-0.00114064,-0.0209448,-0.0164388
0.29,0.0277266,0.00293401,-0.00141785,0.119599,0.200317,-0.00290945,0.0141825,-0.0239979,-0.0236722,0.000516607,0.0115336,0.00313009,-0.224635,-0.0415412,-0.0117775,-0.000222665,-0.0221917,-0.0160071
0.3,0.0278391,0.00277546,-0.000569453,0.119325,0.200563,-0.0031484,0.0182599,-0.023291,-0.0235655,-0.00198542,0.0115198,0.00367591,-0.224693,-0.0409396,-0.0105331,0.000667946,-0.0226852,-0.0156215
0.31,0.0270042,0.00217147,8.22506e-05,0.119028,0.200582,-0.00330102,0.0236433,-0.0218525,-0.0228481,-0.00448847,0.0108678,0.00496399,-0.225353,-0.0380361,-0.00842673,0.00246545,-0.0228716,-0.0147139
0.32,0.0258604,0.0016959,0.000480958,0.11869,0.200588,-0.00341238,0.0291987,-0.0204036,-0.0216563,-0.00665694,0.0103151,0.00629122,-0.224793,-0.0350525,-0.00631845,0.00383,-0.0228933,-0.0136542
0.33,0.025474,0.00136167,0.00103142,0.118348,0.200731,-0.00361596,0.0334594,-0.0194604,-0.0209507,-0.00873387,0.0100547,0.0067286,-0.222073,-0.0341078,-0.0054051,0.0042225,-0.0215579,-0.0130571
0.34,0.0250987,0.000648074,0.00195145,0.118023,0.200802,-0.0038448,0.0378515,-0.0182316,-0.0205875,-0.0111023,0.00934313,0.00709681,-0.219337,-0.0327946,-0.00452224,0.00509025,-0.0191607,-0.0124825
0.35,0.0242506,-0.0001744,0.00254147,0.117672,0.200772,-0.00399624,0.042523,-0.0168769,-0.0199696,-0.013254,0.00838448,0.00760795,-0.216352,-0.0305896,-0.00278617,0.00594229,-0.0161809,-0.0116165
0.36,0.0229092,-0.000784213,0.00285494,0.117312,0.20075,-0.00411113,0.0467033,-0.0157825,-0.0190275,-0.014858,0.00762875,0.00771861,-0.211459,-0.0280665,-0.000553952,0.00643334,-0.0121886,-0.0106808
0.37,0.0222577,-0.000585405,0.00337678,0.11696,0.200761,-0.00427139,0.0497865,-0.0156871,-0.0183689,-0.0166073,0.00786482,0.00734096,-0.205464,-0.0269281,0.000829544,0.00725815,-0.00986138,-0.010352
0.38,0.022409,8.91404e-05,0.00341015,0.116645,0.200756,-0.00447688,0.0522228,-0.016371,-0.0179518,-0.0189173,0.00878511,0.00710822,-0.199034,-0.0270205,0.00153037,0.00854763,-0.00949533,-0.0103428
0.39,0.0220853,0.000385475,0.00276791,0.116331,0.200676,-0.00468326,0.0550132,-0.0167303,-0.0171776,-0.0212958,0.00934031,0.0071815,-0.191776,-0.0260841,0.00274784,0.00996552,-0.00828535,-0.00995257
0.4,0.0214275,0.000608523,0.00226076,0.115939,0.200518,-0.00484596,0.0578205,-0.0169737,-0.0164135,-0.023385,0.00973774,0.00704636,-0.184176,-0.0244917,0.00417946,0.0111517,-0.00662065,-0.00946867
0.41,0.0208954,0.00117534,0.00211892,0.11555,0.20033,-0.00496882,0.0601089,-0.0176384,-0.0161472,-0.0253307,0.0104548,0.0067114,-0.176386,-0.0232512,0.00520631,0.0121678,-0.00587965,-0.00913988
0.42,0.0203784,0.00196727,0.00194191,0.115241,0.200136,-0.00508603,0.0620123,-0.0186816,-0.0163759,-0.027367,0.0114515,0.00643537,-0.16773,-0.0221356,0.00589743,0.0132337,-0.00591472,-0.00881077
0.43,0.0196918,0.00289701,0.00150644,0.114967,0.199905,-0.00515297,0.0638272,-0.0198848,-0.0169132,-0.02954,0.0125847,0.00618775,-0.157801,-0.0206785,0.00649112,0.0144263,-0.00616384,-0.00838118
0.44,0.0189138,0.00406228,0.00115896,0.114687,0.199623,-0.00514478,0.0654043,-0.0211702,-0.0175707,-0.0317695,0.0138477,0.005835,-0.146984,-0.0189537,0.0068493,0.0156232,-0.0066158,-0.00789999
0.45,0.0190312,0.00378544,0.00186822,0.114448,0.199508,-0.00511725,0.0645041,-0.0206614,-0.0190168,-0.0357141,0.013168,0.0050544,-0.134001,-0.015175,0.00462506,0.0149271,-0.00898971,-0.00630674
0.46,0.0201945,0.00225911,0.00314688,0.114252,0.199538,-0.00509641,0.0613726,-0.018588,-0.020672,-0.0413841,0.0108813,0.00410053,-0.119611,-0.00977504,0.000468464,0.0127657,-0.0131846,-0.00365228
0.47,0.0204839,0.00362267,0.00316633,0.113985,0.1993,-0.00508795,0.0605993,-0.0195246,-0.0202433,-0.0445474,0.0121437,0.00414103,-0.107627,-0.0080503,-0.000678277,0.0131301,-0.0152106,-0.00233984
0.48,0.0195462,0.00704254,0.00222813,0.113695,0.198793,-0.0050575,0.0626016,-0.0227421,-0.0194521,-0.0452611,0.0160267,0.00482124,-0.0978589,-0.00932613,0.00086748,0.0156453,-0.0151642,-0.00245699
0.49,0.0183706,0.00882001,0.00222826,0.113569,0.198261,-0.00498896,0.064351,-0.0243474,-0.0204166,-0.0469765,0.0178516,0.00487093,-0.0878632,-0.00843615,0.00250224,0.0180898,-0.0158135,-0.00244431
0.5,0.0175322,0.00917898,0.00345721,0.113494,0.197945,-0.00491626,0.0628232,-0.0242822,-0.0210709,-0.0495063,0.0176365,0.00482584,-0.0730458,-0.00611654,0.000723876,0.0185401,-0.0161357,-0.00136048
0.51,0.0173449,0.00936645,0.00400863,0.11331,0.197793,-0.0047961,0.0595356,-0.0237,-0.0209267,-0.0517327,0.0172998,0.00515078,-0.05608,-0.00515163,-0.0037219,0.0173302,-0.0157208,0.000214335
