time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0.23,0.147483,0.0281873,-0.0349156,0.632004,1.04119,-0.00686661,-0.0681903,-0.146528,-0.112253,0.0850838,0.0658224,-0.00867903,-1.07022,-0.257616,-0.150111,-0.0397099,-0.0292715,-0.0975943
0.24,0.148672,0.024917,-0.0304424,0.631101,1.0428,-0.00821551,-0.0420588,-0.143715,-0.118339,0.0676936,0.0642214,-0.00359177,-1.10204,-0.249895,-0.129885,-0.0302948,-0.0501215,-0.0953359
0.25,0.148839,0.0233793,-0.0275474,0.629827,1.04423,-0.0093906,-0.0156282,-0.141293,-0.120157,0.0521458,0.0641341,0.00215449,-1.12875,-0.241613,-0.108487,-0.0222954,-0.0718776,-0.0922599
0.26,0.146954,0.021913,-0.0217676,0.629016,1.04538,-0.0112814,0.00945673,-0.137849,-0.120904,0.0387914,0.0643344,0.00578669,-1.147,-0.233304,-0.0914768,-0.0152653,-0.0893625,-0.0901697
0.27,0.145874,0.0187942,-0.0170829,0.628062,1.04656,-0.0129178,0.0356944,-0.133665,-0.122864,0.0246512,0.0624794,0.0105302,-1.16324,-0.226064,-0.0775658,-0.00940551,-0.103056,-0.087444
0.28,0.144168,0.0168415,-0.00982531,0.626772,1.04783,-0.0142357,0.0629674,-0.127413,-0.122662,0.010563,0.0610822,0.0152683,-1.17541,-0.217339,-0.0647884,-0.00246666,-0.114341,-0.0844867
0.29,0.146996,0.0163911,-0.0067831,0.625712,1.04988,-0.015962,0.0786148,-0.126426,-0.123569,-0.00150663,0.0622814,0.0155054,-1.16947,-0.221934,-0.0624342,-0.00248533,-0.114958,-0.0840572
0.3,0.143959,0.0118338,-0.000334838,0.62407,1.04972,-0.0167513,0.109762,-0.117362,-0.123078,-0.0174392,0.0571723,0.0231133,-1.18456,-0.20464,-0.048711,0.0103591,-0.120218,-0.0795809
0.31,0.135091,0.0100875,-4.613e-06,0.6226,1.0501,-0.0172766,0.139157,-0.109664,-0.113855,-0.0269934,0.0550665,0.0310124,-1.17687,-0.186874,-0.0371413,0.0169539,-0.119474,-0.0728666
0.32,0.139596,0.0101171,0.00398924,0.620493,1.05109,-0.0185499,0.156529,-0.108318,-0.114472,-0.0394108,0.0561085,0.0306222,-1.16922,-0.191787,-0.0351339,0.016599,-0.119043,-0.0727014
0.33,0.128616,0.00315325,0.0078199,0.61929,1.05097,-0.0194299,0.188498,-0.0959226,-0.107611,-0.0511292,0.0482805,0.03787,-1.15592,-0.167954,-0.0242879,0.0275326,-0.101994,-0.0653415
0.34,0.133508,0.0035622,0.0122437,0.616915,1.05132,-0.0204706,0.206295,-0.0949764,-0.108037,-0.0636564,0.0489633,0.0373453,-1.14618,-0.172981,-0.0219973,0.0272351,-0.101118,-0.0652224
0.35,0.119765,-0.00453012,0.0116808,0.615577,1.05117,-0.021,0.234059,-0.0834091,-0.100568,-0.0714919,0.0396209,0.0414009,-1.11807,-0.148291,-0.00609854,0.0319296,-0.0675719,-0.0563295
0.36,0.120178,-0.00216166,0.0186601,0.613302,1.05124,-0.0220041,0.249583,-0.0837464,-0.0988899,-0.0815664,0.042065,0.0377082,-1.09474,-0.147203,-0.00169219,0.035428,-0.0616863,-0.0568459
