time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0.31,-9.47441,-4.45449,-1.96693,-0.234613,-2.26505,0.863281,13.0592,7.31526,6.10808,-0.0101198,-6.38228,7.42263,-6.02826,23.0178,8.62003,9.0689,3.07128,5.21953
0.32,-3.08934,1.28429,-2.52997,-0.413136,-0.129184,0.412555,1.72004,0.105031,4.74377,3.34566,0.992548,0.391456,12.1947,0.801386,0.0188623,-4.32948,1.64687,1.52186
0.33,7.57454,1.41338,1.51755,-0.0364467,1.36852,-0.922123,-12.9465,-5.05736,-4.86289,0.915482,2.92389,-8.89854,21.6072,-20.3891,-11.9494,-9.72056,13.5705,-4.62715
0.34,0.111698,-3.79371,3.69565,0.170154,-0.716964,-0.252674,1.31325,2.85564,-3.42324,-2.91502,-4.51202,-0.691629,0.163658,3.68488,-0.304877,4.75258,10.6184,-0.2238
0.35,-4.72947,-1.08874,-3.30008,-0.257128,-1.01586,0.77404,2.79461,1.2595,2.54692,2.16727,-2.47083,1.42932,2.47904,8.91798,8.53215,-0.157194,5.82562,2.91308
0.36,-4.93189,2.12661,-2.76551,-0.0939384,0.0870945,0.365504,-4.91221,-2.60328,3.24284,5.47702,2.02915,-4.0048,19.0951,3.18202,4.9614,-3.60983,10.1247,0.697763
0.37,6.89819,8.08622,2.08375,0.0794536,0.32214,-0.453734,-10.9703,-9.98925,-2.83656,-1.45272,9.91792,-4.8831,11.0083,-13.8486,-8.48717,3.33757,-16.6498,-6.06963
0.38,8.02842,4.75737,-4.88469,0.371877,-0.153674,-0.452216,-6.46983,-7.7945,-2.41427,-5.60789,6.84229,1.44906,4.34884,-12.3067,-6.82666,4.64674,-19.6123,-3.19563
0.39,-4.74917,-3.7821,-6.75625,0.00336546,-0.758409,-0.00898308,3.54101,3.24739,3.57174,-0.684034,-3.65089,3.06021,8.29176,10.2876,5.16634,1.28406,8.43938,3.81056
0.4,-3.34217,-0.732874,1.35106,-0.770169,-0.769901,0.436786,0.169186,1.15884,-0.101939,2.89275,-1.57772,-2.08416,3.41115,6.55918,2.14158,-2.31694,4.5472,0.936372
0.41,1.25686,3.43768,3.65303,0.0218803,-0.307702,0.398407,-5.18919,-4.21375,-4.97762,1.43532,3.19681,-1.99823,1.89475,-3.51799,-4.04772,-1.70109,-9.23694,-1.55107
0.42,0.151689,2.25111,-0.351692,0.80752,-0.0554288,0.0565432,-3.84927,-3.78486,-4.95026,-0.906826,2.79593,0.589323,8.66601,-1.24943,-3.35731,0.498593,-7.76082,0.00313943
0.43,-1.69635,1.37819,-2.58466,0.34637,-0.372989,0.502684,-0.886379,-1.59966,-3.08652,-1.36699,1.3647,0.284063,12.7353,3.41491,-0.97425,1.26593,-2.14043,1.0049
0.44,-0.913948,2.35525,0.880013,-0.0595189,-0.50273,0.751369,-2.37659,-0.822203,-1.20145,-0.563867,1.29839,-1.05128,8.87036,2.67766,-2.35519,0.0436611,-2.0284,0.515944
0.45,8.95448,-14.4211,10.5672,0.407479,1.65756,0.193295,-24.774,17.9426,-7.88569,-17.1521,-19.4271,-4.27846,21.6737,20.5381,-25.8241,-18.9296,-19.2195,11.1206
0.46,10.4587,-12.495,5.69413,0.430922,1.46385,-0.06683,-22.3121,15.6456,-2.0914,-17.2531,-16.0708,-1.73277,14.0573,16.2133,-19.3236,-14.6537,-18.2097,10.6121
0.47,-8.7388,28.899,-12.5921,-0.712246,-2.68822,-0.123844,23.5811,-30.1007,20.8397,25.0666,35.4921,9.94367,-24.0544,-36.7525,30.0985,25.2587,21.6889,-13.4201
0.48,-12.2717,20.5631,-9.57647,-0.221616,-2.69172,0.21991,27.7564,-22.8078,3.6239,24.4953,26.2057,6.39723,-22.1636,-30.0057,26.925,21.5074,20.724,-14.2959
0.49,-2.37819,-16.4241,9.38322,1.63705,-0.248599,0.380873,-2.52881,16.1213,-17.5559,-10.0158,-20.5805,-6.30527,2.27922,21.658,0.890058,-0.707521,-6.95763,1.29824
0.5,3.37153,-14.1849,12.2883,0.504486,2.16201,0.0416692,-32.7715,16.705,3.10128,-8.14518,-20.4011,-0.947857,48.2162,14.2965,-34.1313,-19.9405,3.27144,10.7115
0.51,6.51068,-1.71505,-6.77528,-1.08204,1.64428,0.474476,-17.5989,5.16967,7.98514,3.03468,-1.21506,3.70038,21.4852,-13.5471,-26.6741,-16.6037,7.37091,4.90993
0.52,-3.27869,6.10069,-7.70864,0.273681,-3.10338,-0.0285296,36.864,-8.05554,5.0792,2.23487,10.0623,-1.2295,-73.8066,-3.77238,57.2438,28.3577,-3.87711,-11.648
0.53,-1.66028,7.6252,6.87382,0.581878,-1.25835,-0.879625,-0.871466,-11.0957,12.1885,-3.14317,6.68544,2.67188,-0.242057,3.61947,13.8604,11.2921,10.3286,0.141109
0.54,7.81548,-2.18065,2.22229,-0.219605,2.40157,0.121272,-37.2455,3.17262,-3.14644,-4.03936,-4.46451,1.36195,58.2603,-5.65418,-53.0825,-25.0031,9.15104,9.37847
0.55,-4.33423,-10.0076,-4.96803,0.593582,-0.701888,0.735926,24.721,10.727,-5.53726,5.86525,-9.14081,-2.85749,-57.2457,-0.531285,29.881,3.93323,-12.6234,-6.25046
0.56,-7.40557,-1.15445,-2.92626,0.603589,-1.56783,0.0670806,29.8413,-0.981332,14.8062,6.02225,0.0870607,1.20049,-63.2278,3.05111,44.3036,16.5713,-0.350535,-6.10579
0.57,6.67396,4.77175,2.54844,-1.23688,1.28222,-0.691431,-11.1517,-6.59098,0.18284,-3.01727,4.77386,-2.18878,4.24188,-6.46062,-30.7543,-9.60308,7.14563,0.922738
0.58,4.92738,-0.869676,5.27809,-1.2246,1.03088,-0.284975,-8.83118,0.780895,-16.0371,-1.1444,-2.93037,1.64212,1.77999,-7.5357,-25.1883,-11.115,-5.17233,2.48382
0.59,-5.7101,-1.47043,0.360083,1.32698,-0.653091,0.787697,0.418042,2.17428,-0.556449,3.47307,-3.74966,6.94066,-5.44709,1.52967,14.416,5.52741,-3.23996,2.57071
0.6,-3.20813,-1.50253,-4.88826,2.14056,0.235156,0.799913,5.87098,3.58193,-2.44196,2.36757,-0.132196,-6.24403,-22.9956,1.05313,3.11214,-2.4135,-3.19037,-4.83127
0.61,1.68012,-1.12265,-2.51045,0.823567,0.964058,0.494813,2.28064,3.57738,-8.43335,0.674,0.198714,-8.31384,-20.2828,-2.53341,-13.3704,-9.18157,-3.78353,-4.82611
0.62,6.32149,-0.138461,5.31288,-0.698806,0.763291,0.12497,-8.84896,-2.14047,6.482,-3.92009,-3.96655,8.77694,-4.51712,-4.65004,-17.7859,4.84103,5.45934,5.50142
0.63,12.6823,-1.67924,4.43807,-0.937454,1.31886,0.0962964,-8.52852,-0.951523,6.028,-8.5014,-5.80558,15.2498,-17.5636,-11.2604,-22.7805,10.5138,2.90846,8.94618
0.64,2.64994,-1.20334,0.00521127,0.720143,0.546935,0.545516,-0.693487,3.889,-11.0182,-0.145748,-1.24109,-2.02075,-13.7549,-7.30004,1.41113,-0.242412,-11.1122,-0.894401
